candidate_id,rank,score,reasoning
CAND_0088025,19,0.9741,"Offers 8.6 years of experience as a Staff Machine Learning Engineer, with hands-on expertise in Pinecone, QLoRA, Hugging Face Transformers. Located in Jaipur, Rajasthan (relocation constraint) with a notice period is long (90 days), showing a response rate of 83%."
CAND_0093912,20,0.9741,"Offers 5.3 years of experience as a Senior Data Scientist, with hands-on expertise in Milvus, Embeddings, Vector Search. Located in Chandigarh, Chandigarh (relocation constraint) with a 30-day notice period, showing a response rate of 66%."
CAND_0080766,21,0.9643,"Offers 8.8 years of experience as a Staff Machine Learning Engineer, with hands-on expertise in LoRA, Information Retrieval Systems, Elasticsearch. Located in Coimbatore, Tamil Nadu with a quick 0-day notice, showing a response rate of 66%."
CAND_0018722,22,0.9633,"Experienced Recommendation Systems Engineer (6.6 years) who has shipped systems using Weaviate, Python, TensorFlow. Located in Toronto with a notice period is long (90 days), showing a response rate of 79%."
CAND_0007412,23,0.9609,"Experienced Applied ML Engineer (7.4 years) who has shipped systems using Pinecone, Milvus, PyTorch. Based in Noida, Uttar Pradesh (notice period is long (120 days)); has a response rate of 76% to recruiters."
CAND_0002344,24,0.9529,"Offers 4.7 years of experience as a Senior Software Engineer (ML), with hands-on expertise in NLP, TensorFlow, Pinecone. Located in Chennai, Tamil Nadu (relocation constraint) with a notice period is long (120 days), showing a response rate of 83%."
CAND_0064326,25,0.9525,"Experienced Search Engineer (7.6 years) who has shipped systems using PyTorch, Milvus, Weaviate. Based in Gurgaon, Haryana (relocation constraint) (45-day notice period); has a response rate of 94% to recruiters."
CAND_0042029,26,0.9523,"Senior Data Scientist with 6.5 years of experience, specializing in PyTorch, NLP, Elasticsearch. Responsive candidate (67% rate) located in Delhi, Delhi with a 45-day notice period."
CAND_0002025,27,0.9484,"Offers 5.9 years of experience as a Senior AI Engineer, with hands-on expertise in FAISS, TensorFlow, OpenSearch. Responsive candidate (80% rate) located in Trivandrum, Kerala (relocation constraint) with a 30-day notice period."
CAND_0011687,28,0.9484,"Experienced Senior NLP Engineer (7.8 years) who has shipped systems using TensorFlow, OpenSearch, FAISS. Responsive candidate (89% rate) located in Indore, Madhya Pradesh (relocation constraint) with a quick 15-day notice."
CAND_0017960,29,0.9484,"Experienced Recommendation Systems Engineer (7.7 years) who has shipped systems using QLoRA, Hugging Face Transformers, Qdrant. Located in Bangalore, Karnataka with a 60-day notice period, showing a response rate of 72%."
CAND_0046064,30,0.9484,"Offers 8.9 years of experience as a Senior NLP Engineer, with hands-on expertise in Python, Pinecone, OpenSearch. Located in Coimbatore, Tamil Nadu (relocation constraint) with a 30-day notice period, showing a response rate of 78%."
CAND_0066999,31,0.9484,"Recommendation Systems Engineer with 5.9 years of experience, specializing in OpenSearch, FAISS, Pinecone. Located in Delhi, Delhi with a quick 15-day notice, showing a response rate of 63%."
CAND_0071974,32,0.9484,"Offers 7.8 years of experience as a Senior AI Engineer, with hands-on expertise in LoRA, Weaviate, PEFT. Responsive candidate (76% rate) located in Vizag, Andhra Pradesh (relocation constraint) with a 45-day notice period."
CAND_0018549,33,0.9381,"Experienced Recommendation Systems Engineer (6.8 years) who has shipped systems using Weaviate, Elasticsearch, Qdrant. Responsive candidate (73% rate) located in Coimbatore, Tamil Nadu with a 60-day notice period."
CAND_0027691,34,0.9381,"NLP Engineer with 6.5 years of experience, specializing in LoRA, PEFT, Weaviate. Located in Pune, Maharashtra with a quick 15-day notice, showing a response rate of 68%."
CAND_0059017,35,0.9381,"Experienced AI Research Engineer (6.8 years) who has shipped systems using Sentence Transformers, FAISS, TensorFlow. Based in Ahmedabad, Gujarat (notice period is long (90 days)); has a response rate of 75% to recruiters."
CAND_0062247,36,0.9381,"Experienced AI Engineer (7.3 years) who has shipped systems using Pinecone, Vector Search, Qdrant. Responsive candidate (78% rate) located in Kochi, Kerala with a 30-day notice period."
CAND_0077337,37,0.9381,"Staff Machine Learning Engineer with 7.0 years of experience, specializing in QLoRA, Pinecone, Information Retrieval. Located in Kochi, Kerala with a 60-day notice period, showing a response rate of 95%."
CAND_0081053,38,0.9381,"NLP Engineer with 5.4 years of experience, specializing in LoRA, QLoRA, Qdrant. Located in Chandigarh, Chandigarh with a notice period is long (90 days), showing a response rate of 83%."
CAND_0098846,39,0.9381,"Offers 7.6 years of experience as a AI Engineer, with hands-on expertise in Hugging Face Transformers, PEFT, QLoRA. Located in Indore, Madhya Pradesh with a 45-day notice period, showing a response rate of 62%."
CAND_0054859,40,0.9335,"Offers 6.9 years of experience as a Senior Software Engineer (ML), with hands-on expertise in Embeddings, PEFT, Sentence Transformers. Located in Noida, Uttar Pradesh with a notice period is long (90 days), showing a response rate of 61%."
CAND_0008425,41,0.9278,"Offers 7.8 years of experience as a Senior NLP Engineer, with hands-on expertise in Qdrant, Sentence Transformers, NLP. Responsive candidate (66% rate) located in Kolkata, West Bengal (relocation constraint) with a notice period is long (90 days)."
CAND_0014440,42,0.9278,"Recommendation Systems Engineer with 6.4 years of experience, specializing in Elasticsearch, Milvus, FAISS. Based in Chennai, Tamil Nadu (relocation constraint) (60-day notice period); has a response rate of 64% to recruiters."
CAND_0046353,43,0.9278,"Experienced ML Engineer (6.4 years) who has shipped systems using PyTorch, FAISS, Qdrant. Based in Gurgaon, Haryana (relocation constraint) (notice period is long (120 days)); has a response rate of 73% to recruiters."
CAND_0094056,44,0.9278,"NLP Engineer with 5.9 years of experience, specializing in Pinecone, Milvus, Hugging Face Transformers. Based in Chennai, Tamil Nadu (notice period is long (120 days)); has a response rate of 82% to recruiters."
CAND_0096142,45,0.9278,"Experienced Applied ML Engineer (5.0 years) who has shipped systems using LoRA, Weaviate, Pinecone. Based in Hyderabad, Telangana (relocation constraint) (notice period is long (120 days)); has a response rate of 84% to recruiters."
CAND_0025882,46,0.9249,"Offers 5.6 years of experience as a Senior Software Engineer (ML), with hands-on expertise in FAISS, Vector Search, LoRA. Responsive candidate (79% rate) located in Chennai, Tamil Nadu with a 45-day notice period."
CAND_0078002,47,0.92,"Offers 6.3 years of experience as a Machine Learning Engineer, with hands-on expertise in TensorFlow, NLP, Hugging Face Transformers. Based in Coimbatore, Tamil Nadu (relocation constraint) (60-day notice period); has a response rate of 86% to recruiters."
CAND_0079387,48,0.92,"Experienced AI Engineer (6.9 years) who has shipped systems using Python, Sentence Transformers, Vector Search. Responsive candidate (81% rate) located in Trivandrum, Kerala (relocation constraint) with a 30-day notice period."
CAND_0008295,49,0.9182,"Experienced AI Research Engineer (6.5 years) who has shipped systems using Python, PEFT, Weaviate. Located in Pune, Maharashtra with a 45-day notice period, showing a response rate of 89%."
CAND_0009691,50,0.9174,"Offers 6.2 years of experience as a Applied ML Engineer, with hands-on expertise in Fine-tuning LLMs, LoRA, Pinecone. Responsive candidate (64% rate) located in Indore, Madhya Pradesh with a notice period is long (120 days)."
CAND_0051003,51,0.9174,"Experienced Senior Software Engineer (ML) (4.0 years) who has shipped systems using QLoRA, Embeddings, LoRA. Based in London (60-day notice period); has a response rate of 70% to recruiters."
CAND_0070398,52,0.9174,"Offers 7.2 years of experience as a Machine Learning Engineer, with hands-on expertise in FAISS, Embeddings, PyTorch. Located in Kochi, Kerala with a notice period is long (120 days), showing a response rate of 60%."
CAND_0073007,53,0.9155,"Offers 5.8 years of experience as a AI Specialist, with hands-on expertise in Milvus, PyTorch, Embeddings. Located in Bangalore, Karnataka (relocation constraint) with a 60-day notice period, showing a response rate of 83%."
CAND_0068351,54,0.909,"Experienced Lead AI Engineer (6.4 years) who has shipped systems using Qdrant, Elasticsearch, PEFT. Located in Delhi, Delhi (relocation constraint) with a quick 0-day notice, showing a response rate of 86%."
CAND_0016163,55,0.9071,"Offers 6.7 years of experience as a Applied ML Engineer, with hands-on expertise in Hugging Face Transformers, Weaviate, TensorFlow. Responsive candidate (72% rate) located in Gurgaon, Haryana (relocation constraint) with a notice period is long (120 days)."
CAND_0027801,56,0.9071,"Experienced NLP Engineer (7.4 years) who has shipped systems using FAISS, Milvus, QLoRA. Located in Hyderabad, Telangana (relocation constraint) with a notice period is long (120 days), showing a response rate of 65%."
CAND_0054100,57,0.9071,"Experienced Junior ML Engineer (6.0 years) who has shipped systems using Vector Search, QLoRA, Pinecone. Based in Kolkata, West Bengal (relocation constraint) (60-day notice period); has a response rate of 79% to recruiters."
CAND_0015578,58,0.9053,"Experienced AI Engineer (5.4 years) who has shipped systems using Embeddings, NLP, Sentence Transformers. Located in Delhi, Delhi with a notice period is long (90 days), showing a response rate of 65%."
CAND_0070514,59,0.9041,"AI Specialist with 5.5 years of experience, specializing in Pinecone, Python, PEFT. Located in Bangalore, Karnataka with a 60-day notice period, showing a response rate of 80%."
CAND_0020877,60,0.9032,"Offers 5.1 years of experience as a Applied ML Engineer, with hands-on expertise in QLoRA, Elasticsearch, PyTorch. Responsive candidate (66% rate) located in Gurgaon, Haryana with a 60-day notice period."
CAND_0005649,61,0.8999,"Offers 7.4 years of experience as a Senior Data Scientist, with hands-on expertise in TensorFlow, Fine-tuning LLMs, QLoRA. Based in Delhi, Delhi (notice period is long (90 days)); has a response rate of 56% to recruiters."
CAND_0035315,62,0.8989,"Offers 4.9 years of experience as a Data Scientist, with hands-on expertise in NLP, PyTorch, Weaviate. Located in New York with a notice period is long (120 days), showing a response rate of 62%."
CAND_0072768,63,0.8984,"Senior Software Engineer (ML) with 3.9 years of experience, specializing in Pinecone, PyTorch, Qdrant. Responsive candidate (78% rate) located in Bangalore, Karnataka (relocation constraint) with a notice period is long (120 days)."
CAND_0020991,64,0.8968,"Experienced Junior ML Engineer (4.9 years) who has shipped systems using QLoRA, Python, LoRA. Responsive candidate (88% rate) located in Vizag, Andhra Pradesh with a notice period is long (120 days)."
CAND_0011162,65,0.8954,"Experienced Recommendation Systems Engineer (5.8 years) who has shipped systems using FAISS, Vector Search, LoRA. Based in Coimbatore, Tamil Nadu (notice period is long (90 days)); has a response rate of 75% to recruiters."
CAND_0080465,66,0.8912,"Offers 4.2 years of experience as a ML Engineer, with hands-on expertise in Milvus, Qdrant, QLoRA. Responsive candidate (83% rate) located in Toronto with a notice period is long (90 days)."
CAND_0098454,67,0.8885,"AI Specialist with 6.6 years of experience, specializing in Vector Search, NLP, OpenSearch. Based in Indore, Madhya Pradesh (60-day notice period); has a response rate of 87% to recruiters."
CAND_0053591,68,0.8876,"Offers 5.3 years of experience as a AI Engineer, with hands-on expertise in Embeddings, Milvus, OpenSearch. Based in Toronto (relocation constraint) (60-day notice period); has a response rate of 81% to recruiters."
CAND_0032887,69,0.8874,"Offers 6.1 years of experience as a ML Engineer, with hands-on expertise in Hugging Face Transformers, NLP, Qdrant. Based in Singapore (relocation constraint) (45-day notice period); has a response rate of 81% to recruiters."
CAND_0012957,70,0.8865,"Offers 4.9 years of experience as a Search Engineer, with hands-on expertise in PEFT, Qdrant, Python. Located in Chennai, Tamil Nadu with a notice period is long (120 days), showing a response rate of 67%."
CAND_0083852,71,0.8865,"Data Scientist with 6.0 years of experience, specializing in Qdrant, QLoRA, Pinecone. Responsive candidate (85% rate) located in Ahmedabad, Gujarat with a notice period is long (90 days)."
CAND_0089495,72,0.8865,"Experienced Senior Software Engineer (ML) (4.3 years) who has shipped systems using Python, PyTorch, LoRA. Responsive candidate (72% rate) located in Jaipur, Rajasthan (relocation constraint) with a notice period is long (90 days)."
CAND_0017090,73,0.8862,"Senior Software Engineer (ML) with 5.5 years of experience, specializing in Python, Weaviate, OpenSearch. Based in Kochi, Kerala (relocation constraint) (60-day notice period); has a response rate of 71% to recruiters."
CAND_0073883,74,0.8854,"AI Specialist with 5.3 years of experience, specializing in PEFT, Hugging Face Transformers, Vector Search. Responsive candidate (92% rate) located in Chandigarh, Chandigarh with a notice period is long (90 days)."
CAND_0005260,75,0.8836,"Offers 5.2 years of experience as a Senior NLP Engineer, with hands-on expertise in Information Retrieval, Python, NLP. Located in Chennai, Tamil Nadu with a 60-day notice period, showing a response rate of 86%."
CAND_0029367,76,0.8797,"Senior Data Scientist with 5.7 years of experience, specializing in TensorFlow, QLoRA, FAISS. Based in Bangalore, Karnataka (relocation constraint) (notice period is long (90 days)); has a response rate of 77% to recruiters."
CAND_0047542,77,0.8788,"Offers 5.0 years of experience as a Senior Software Engineer (ML), with hands-on expertise in Weaviate, Sentence Transformers, PEFT. Based in Chennai, Tamil Nadu (45-day notice period); has a response rate of 75% to recruiters."
CAND_0044222,78,0.8782,"Offers 7.7 years of experience as a AI Engineer, with hands-on expertise in Vector Search, OpenSearch, Qdrant. Responsive candidate (60% rate) located in Vizag, Andhra Pradesh (relocation constraint) with a 60-day notice period."
CAND_0073314,79,0.8778,"Offers 5.2 years of experience as a Senior Software Engineer (ML), with hands-on expertise in PEFT, Milvus, Elasticsearch. Based in Noida, Uttar Pradesh (60-day notice period); has a response rate of 84% to recruiters."
CAND_0053695,80,0.8762,"Experienced Recommendation Systems Engineer (5.8 years) who has shipped systems using Pinecone, TensorFlow, Embeddings. Responsive candidate (60% rate) located in Bhubaneswar, Odisha (relocation constraint) with a quick 15-day notice."
CAND_0061339,81,0.8762,"Offers 4.2 years of experience as a Search Engineer, with hands-on expertise in Information Retrieval, Milvus, TensorFlow. Based in Chandigarh, Chandigarh (notice period is long (90 days)); has a response rate of 90% to recruiters."
CAND_0061819,82,0.8757,"Offers 5.0 years of experience as a Junior ML Engineer, with hands-on expertise in Python, Qdrant, Milvus. Based in Chandigarh, Chandigarh (notice period is long (120 days)); has a response rate of 79% to recruiters."
CAND_0001819,83,0.8742,"Offers 4.4 years of experience as a ML Engineer, with hands-on expertise in Weaviate, PyTorch, NLP. Based in Coimbatore, Tamil Nadu (60-day notice period); has a response rate of 75% to recruiters."
CAND_0069248,84,0.8742,"Offers 5.4 years of experience as a AI Research Engineer, with hands-on expertise in TensorFlow, QLoRA, FAISS. Located in Vizag, Andhra Pradesh with a notice period is long (120 days), showing a response rate of 75%."
CAND_0047521,85,0.8737,"Offers 4.4 years of experience as a Junior ML Engineer, with hands-on expertise in Pinecone, Embeddings, LoRA. Located in Mumbai, Maharashtra (relocation constraint) with a notice period is long (120 days), showing a response rate of 83%."
CAND_0052335,86,0.8721,"Offers 6.4 years of experience as a Applied ML Engineer, with hands-on expertise in PyTorch, NLP, Sentence Transformers. Responsive candidate (79% rate) located in Berlin with a 60-day notice period."
CAND_0078492,87,0.8679,"Offers 5.1 years of experience as a Recommendation Systems Engineer, with hands-on expertise in FAISS, Qdrant, Hugging Face Transformers. Based in Kochi, Kerala (30-day notice period); has a response rate of 70% to recruiters."
CAND_0002120,88,0.8659,"Experienced ML Engineer (6.5 years) who has shipped systems using Hugging Face Transformers, Information Retrieval, Pinecone. Based in Berlin (relocation constraint) (45-day notice period); has a response rate of 72% to recruiters."
CAND_0045778,89,0.863,"Experienced Senior Software Engineer (ML) (4.4 years) who has shipped systems using Milvus, TensorFlow, PyTorch. Responsive candidate (83% rate) located in Ahmedabad, Gujarat (relocation constraint) with a notice period is long (90 days)."
CAND_0063097,90,0.8624,"Senior Software Engineer (ML) with 6.5 years of experience, specializing in NLP, LoRA. Responsive candidate (64% rate) located in Mumbai, Maharashtra with a notice period is long (120 days)."
CAND_0050454,91,0.8622,"AI Engineer with 6.8 years of experience, specializing in PyTorch, QLoRA, Fine-tuning LLMs. Based in Delhi, Delhi (30-day notice period); has a response rate of 77% to recruiters."
CAND_0022463,92,0.8617,"Junior ML Engineer with 6.5 years of experience, specializing in Sentence Transformers, LoRA, Embeddings. Based in Toronto (notice period is long (120 days)); has a response rate of 73% to recruiters."
CAND_0069905,93,0.8617,"Experienced Applied ML Engineer (6.6 years) who has shipped systems using LoRA, Sentence Transformers, TensorFlow. Located in Bhubaneswar, Odisha with a notice period is long (90 days), showing a response rate of 78%."
CAND_0082913,94,0.8597,"Experienced Senior Software Engineer (ML) (5.5 years) who has shipped systems using FAISS, LoRA, TensorFlow. Responsive candidate (73% rate) located in Trivandrum, Kerala with a 45-day notice period."
CAND_0073504,95,0.8573,"Offers 6.6 years of experience as a Junior ML Engineer, with hands-on expertise in Elasticsearch, TensorFlow, Vector Search. Responsive candidate (78% rate) located in Gurgaon, Haryana (relocation constraint) with a 60-day notice period."
CAND_0081852,96,0.8571,"Senior Data Scientist with 5.9 years of experience, specializing in Milvus, Weaviate, Vector Search. Located in Delhi, Delhi with a 45-day notice period, showing a response rate of 44%."
CAND_0099751,97,0.8567,"Offers 5.5 years of experience as a Junior ML Engineer, with hands-on expertise in Sentence Transformers, QLoRA, Hugging Face Transformers. Located in Chennai, Tamil Nadu with a notice period is long (120 days), showing a response rate of 64%."
CAND_0010149,98,0.8561,"ML Engineer with 6.9 years of experience, specializing in Milvus, Vector Search, PEFT. Located in Bangalore, Karnataka with a notice period is long (90 days), showing a response rate of 82%."
CAND_0058575,99,0.8561,"AI Engineer with 5.8 years of experience, specializing in Pinecone, PyTorch, Hugging Face Transformers. Responsive candidate (69% rate) located in Chennai, Tamil Nadu with a notice period is long (90 days)."
CAND_0076163,100,0.8556,"Offers 6.9 years of experience as a NLP Engineer, with hands-on expertise in Weaviate, PyTorch, Sentence Transformers. Responsive candidate (84% rate) located in Chandigarh, Chandigarh (relocation constraint) with a 60-day notice period."
